Name,Team,Barrel%,HardHit%,FB%,LD%,Chase%,LA,AvgEV,ISO,SwStr%,ZoneContact%,xwOBA,PulledBrl%,BrlBIP%,SweetSpot%,Last14AVG,Last14HH%
Willson Contreras,Boston Red Sox,15.7,44.5,25.2,23.2,33.4,16.5,90.6,0.259,30.3,65.8,0.399,0,0,0,0,0
Jarren Duran,Boston Red Sox,11.7,40.6,21.2,21.2,34.3,14.4,90.6,0.163,34.5,62.0,0.302,0,0,0,0,0
Wilyer Abreu,Boston Red Sox,11.5,43.0,36.8,21.8,29.8,17.4,89.8,0.201,22.0,68.0,0.348,0,0,0,0,0
Mickey Gasper,Boston Red Sox,6.0,48.0,30.0,28.0,26.7,16.9,92.6,0.115,22.0,61.7,0.292,0,0,0,0,0
Masataka Yoshida,Boston Red Sox,1.9,41.7,25.9,19.4,27.6,8.9,88.8,0.096,14.5,54.1,0.308,0,0,0,0,0
Ceddanne Rafaela,Boston Red Sox,6.8,37.0,24.8,28.5,37.6,10.1,87.1,0.117,24.3,66.4,0.301,0,0,0,0,0
Carlos Narvaez,Boston Red Sox,6.7,37.3,28.0,26.7,35.1,14.3,91.5,0.111,28.8,70.1,0.284,0,0,0,0,0
Marcelo Mayer,Boston Red Sox,6.0,37.0,26.7,15.6,28.9,9.4,86.8,0.091,26.2,74.6,0.257,0,0,0,0,0
Isiah Kiner-Falefa,Boston Red Sox,4.0,27.6,17.1,25.0,36.0,10.7,83.4,0.083,17.9,69.6,0.301,0,0,0,0,0
Junior Caminero,Tampa Bay Rays,11.9,48.2,21.1,19.6,27.6,8.4,92.3,0.207,20.4,60.1,0.373,0,0,0,0,0
Yandy Diaz,Tampa Bay Rays,8.8,46.4,21.4,24.5,27.2,5.9,90.9,0.186,13.8,67.2,0.374,0,0,0,0,0
Jonathan Aranda,Tampa Bay Rays,12.4,46.6,33.5,26.7,28.1,15.5,90.8,0.218,21.9,61.0,0.377,0,0,0,0,0
Hunter Feduccia,Tampa Bay Rays,4.3,31.9,33.3,29.2,28.0,20.6,90.0,0.119,26.4,65.4,0.309,0,0,0,0,0
Cedric Mullins,Tampa Bay Rays,3.3,30.5,35.3,20.3,27.5,29.2,88.2,0.119,20.1,71.6,0.258,0,0,0,0,0
Richie Palacios,Tampa Bay Rays,3.1,27.3,17.2,27.3,28.4,12.5,87.5,0.079,23.3,62.2,0.305,0,0,0,0,0
Nick Fortes,Tampa Bay Rays,0.8,40.6,16.4,18.0,38.3,7.4,86.8,0.074,15.2,68.8,0.269,0,0,0,0,0
Chandler Simpson,Tampa Bay Rays,0.0,15.3,13.3,22.9,30.5,2.5,84.1,0.037,10.9,62.1,0.256,0,0,0,0,0
Garrett Mitchell,Milwaukee Brewers,14.6,51.0,18.8,21.9,19.7,4.8,92.8,0.182,37.5,65.3,0.334,0,0,0,0,0
Jackson Chourio,Milwaukee Brewers,17.2,49.4,33.3,19.5,34.9,13.1,92.7,0.253,24.4,58.2,0.344,0,0,0,0,0
Jake Bauers,Milwaukee Brewers,13.4,54.5,27.3,21.7,18.9,8.6,92.4,0.218,24.9,65.2,0.365,0,0,0,0,0
Brice Turang,Milwaukee Brewers,8.2,48.1,23.8,28.1,21.1,8.2,91.3,0.199,20.7,61.5,0.372,0,0,0,0,0
William Contreras,Milwaukee Brewers,6.8,41.7,24.3,23.3,29.9,11.9,89.9,0.153,19.2,67.8,0.335,0,0,0,0,0
Christian Yelich,Milwaukee Brewers,6.7,36.0,18.0,22.5,23.5,2.6,88.4,0.153,33.6,65.8,0.296,0,0,0,0,0
Andrew Vaughn,Milwaukee Brewers,2.8,44.4,19.4,29.2,25.6,8.8,90.1,0.108,18.8,65.6,0.337,0,0,0,0,0
Nick Kurtz,Oakland Athletics,18.8,57.6,28.5,26.4,21.7,12.9,94.2,0.253,35.4,63.7,0.399,0,0,0,0,0
Shea Langeliers,Oakland Athletics,15.0,44.6,31.1,23.3,32.4,20.8,91.6,0.257,26.0,73.8,0.380,0,0,0,0,0
Brent Rooker,Oakland Athletics,15.8,42.6,40.0,20.9,31.2,19.4,89.8,0.235,38.1,70.9,0.320,0,0,0,0,0
Tyler Soderstrom,Oakland Athletics,11.2,43.9,30.0,16.7,28.1,13.3,89.9,0.172,21.6,69.0,0.330,0,0,0,0,0
Max Muncy,Oakland Athletics,12.3,56.1,26.3,19.3,37.4,10.5,92.5,0.167,35.4,66.3,0.303,0,0,0,0,0
Carlos Cortes,Oakland Athletics,8.9,41.6,21.2,24.8,22.6,8.5,89.9,0.161,18.8,65.1,0.378,0,0,0,0,0
Zack Gelof,Oakland Athletics,7.6,39.5,24.4,20.2,23.2,16.0,88.3,0.159,27.1,66.9,0.291,0,0,0,0,0
Jonah Heim,Oakland Athletics,6.3,25.4,28.6,23.8,33.7,14.4,85.6,0.148,20.7,58.7,0.286,0,0,0,0,0
Jeff McNeil,Oakland Athletics,1.2,30.8,16.9,29.7,31.6,12.8,86.4,0.076,16.8,80.5,0.305,0,0,0,0,0
