Name,Team,Barrel%,HardHit%,FB%,LD%,Chase%,LA,AvgEV,ISO,SwStr%,ZoneContact%,xwOBA,PulledBrl%,BrlBIP%,SweetSpot%,Last14AVG,Last14HH%,Form,Bats,Oppo%,BBE
Owen Caissie,Miami Marlins,12.8,44.7,28.7,26.6,29.5,15.6,91.4,0.187,35.5,65.8,0.287,29.8,11.7,22.3,0,0,6,L,20.2,94
Kyle Stowers,Miami Marlins,8.8,50.0,27.2,21.9,35.2,14.5,90.7,0.169,34.6,75.1,0.311,48.2,7.0,26.3,0,0,6,L,19.3,114
Otto Lopez,Miami Marlins,7.5,45.4,22.3,21.0,36.0,6.3,90.4,0.159,20.7,62.3,0.341,31.4,5.2,28.8,0,0,6,R,27.9,229
Heriberto Hernandez,Miami Marlins,9.0,46.1,28.1,22.5,26.1,12.7,90.8,0.204,31.5,68.6,0.353,44.9,6.7,25.8,0,0,6,R,18.0,89
Connor Norby,Miami Marlins,8.4,36.1,37.0,15.1,26.2,19.5,87.0,0.152,30.4,72.8,0.296,39.5,5.9,19.3,0,0,7,R,21.0,119
Xavier Edwards,Miami Marlins,5.9,31.7,22.6,28.1,23.5,11.8,87.2,0.137,14.2,60.1,0.343,33.5,3.6,27.6,0,0,6,R,30.3,221
Liam Hicks,Miami Marlins,4.5,31.8,24.9,20.9,26.5,15.1,85.8,0.119,10.7,60.6,0.320,40.3,3.5,25.4,0,0,6,R,23.4,201
Jakob Marsee,Miami Marlins,3.6,35.9,24.7,25.9,22.3,19.4,86.8,0.091,18.9,56.7,0.310,38.2,4.7,27.6,0,0,6,R,27.6,170
Spencer Horwitz,Pittsburgh Pirates,8.0,34.3,26.4,20.2,25.2,15.9,86.4,0.153,14.7,59.1,0.332,40.4,5.1,21.9,0,0,7,L,29.8,178
Bryan Reynolds,Pittsburgh Pirates,8.8,44.5,23.1,24.2,23.0,5.4,90.9,0.176,28.3,67.4,0.364,42.3,3.9,20.3,0,0,7,S,25.3,182
Brandon Lowe,Pittsburgh Pirates,12.5,44.3,33.5,22.7,32.5,16.9,90.1,0.240,34.3,67.9,0.362,45.5,9.1,23.1,0,0,6,S,18.2,176
Ryan O'Hearn,Pittsburgh Pirates,6.8,44.6,28.4,24.3,31.5,12.2,89.8,0.159,22.2,60.3,0.333,39.9,7.4,25.7,0,0,6,L,28.4,148
Marcell Ozuna,Pittsburgh Pirates,8.1,38.6,29.1,27.6,25.7,21.8,89.5,0.167,30.2,60.0,0.305,39.4,7.9,26.8,0,0,6,R,26.0,127
Esmerlyn Valdez,Pittsburgh Pirates,33.3,66.7,55.6,11.1,28.2,17.8,94.9,0.300,41.7,59.5,0.297,22.2,0.0,0.0,0,0,8,R,22.2,9
Dominic Canzone,Seattle Mariners,16.8,48.7,26.9,29.4,33.1,12.4,93.0,0.247,30.3,64.6,0.380,40.3,5.0,26.1,0,0,7,R,21.8,119
Julio Rodriguez,Seattle Mariners,9.1,45.0,25.0,23.6,38.9,13.0,90.5,0.208,27.1,70.0,0.343,36.4,9.1,21.8,0,0,7,R,22.7,220
Luke Raley,Seattle Mariners,17.8,47.5,31.4,23.7,33.1,16.4,90.4,0.275,41.7,76.9,0.361,50.0,4.2,23.7,0,0,6,L,24.6,118
Randy Arozarena,Seattle Mariners,7.7,43.9,19.4,26.0,31.8,7.9,91.7,0.175,26.8,64.5,0.353,35.7,3.1,26.0,0,0,7,R,28.1,196
Colt Emerson,Seattle Mariners,4.7,30.2,18.6,27.9,28.8,18.9,87.8,0.075,30.3,68.4,0.230,44.2,7.0,16.3,0,0,7,R,34.9,43
Josh Naylor,Seattle Mariners,5.0,38.0,21.7,21.7,36.2,13.8,87.7,0.131,19.5,73.9,0.327,47.1,5.9,28.1,0,0,6,L,22.2,221
Cole Young,Seattle Mariners,5.5,37.8,24.9,23.9,31.3,16.2,87.9,0.138,22.5,64.6,0.332,47.8,8.0,31.8,0,0,6,L,19.9,201
James Wood,Washington Nationals,25.3,58.4,31.3,29.5,22.6,10.5,95.9,0.340,32.2,56.1,0.431,27.7,10.2,20.2,0,0,7,L,36.1,166
CJ Abrams,Washington Nationals,11.0,42.2,28.6,25.0,34.8,16.7,90.0,0.199,28.4,67.6,0.362,44.3,6.8,27.1,0,0,7,L,24.0,192
Curtis Mead,Washington Nationals,11.4,44.7,34.8,22.7,24.3,16.3,89.4,0.211,16.1,58.9,0.372,47.7,6.1,26.8,0,0,7,R,21.2,132
Daylen Lile,Washington Nationals,8.1,37.4,35.0,22.4,35.5,17.2,87.9,0.167,23.6,75.4,0.331,41.3,5.8,26.5,0,0,6,L,30.0,223
Luis Garcia Jr,Washington Nationals,8.1,48.3,19.3,26.1,41.8,11.1,92.4,0.174,18.7,70.9,0.337,39.8,4.0,26.7,0,0,6,R,22.2,176
Jacob Young,Washington Nationals,6.5,37.4,26.3,28.1,26.5,11.9,89.3,0.138,20.1,58.8,0.312,35.1,5.3,25.7,0,0,6,R,28.1,171
Fernando Tatis Jr,San Diego Padres,10.6,51.5,18.7,26.8,28.6,3.6,90.7,0.131,28.9,69.8,0.352,26.8,5.6,27.8,0,0,7,R,28.8,198
Jackson Merrill,San Diego Padres,10.2,46.1,27.0,26.4,34.0,13.9,89.7,0.184,28.1,79.4,0.316,37.1,7.3,23.0,0,0,6,L,29.2,178
Manny Machado,San Diego Padres,8.2,42.3,24.2,23.6,31.2,11.4,89.8,0.162,25.1,68.7,0.300,42.9,6.0,21.4,0,0,6,R,24.7,182
Gavin Sheets,San Diego Padres,9.2,45.4,25.5,23.4,33.0,15.7,89.3,0.178,22.1,55.3,0.327,39.0,6.4,27.7,0,0,7,L,28.4,141
Ty France,San Diego Padres,11.6,50.0,19.8,21.9,33.8,6.8,91.4,0.195,29.2,72.7,0.322,35.4,3.1,21.9,0,0,6,R,22.9,96
Pete Alonso,Baltimore Orioles,12.4,55.9,32.2,21.3,26.5,14.8,95.0,0.250,27.1,66.3,0.371,34.2,10.4,21.6,0,0,7,R,23.1,202
Samuel Basallo,Baltimore Orioles,12.9,48.1,27.1,27.1,39.4,13.1,92.2,0.224,31.1,68.8,0.353,41.4,7.5,27.7,0,0,7,R,21.8,133
Gunnar Henderson,Baltimore Orioles,8.5,44.1,26.1,22.3,33.5,12.6,88.9,0.193,24.4,67.1,0.303,43.1,6.2,22.6,0,0,7,L,21.3,211
Adley Rutschman,Baltimore Orioles,9.7,47.4,30.1,27.6,25.9,15.8,90.4,0.219,14.6,58.3,0.377,37.8,7.1,23.7,0,0,7,S,21.2,156
Coby Mayo,Baltimore Orioles,10.5,49.1,33.3,19.3,30.1,19.6,91.9,0.205,29.7,63.2,0.302,51.8,7.9,25.4,0,0,6,R,15.8,114
Colton Cowser,Baltimore Orioles,13.3,31.6,31.6,19.4,28.1,11.3,86.0,0.256,32.0,62.9,0.325,36.5,8.2,13.3,0,0,6,L,24.5,98
Riley Greene,Detroit Tigers,13.5,50.9,30.4,25.7,25.6,16.4,91.4,0.205,29.9,67.7,0.362,36.3,7.6,26.9,0,0,7,L,24.6,171
Kerry Carpenter,Detroit Tigers,11.8,47.7,39.5,22.1,35.9,22.2,91.3,0.191,31.4,68.3,0.306,47.7,11.6,23.3,0,0,6,L,22.1,86
Dillon Dingler,Detroit Tigers,13.6,52.0,31.6,26.6,33.3,17.2,90.9,0.273,20.9,63.4,0.401,41.8,10.7,25.4,0,0,7,R,20.9,177
Spencer Torkelson,Detroit Tigers,13.4,44.8,38.5,28.0,21.9,20.4,90.4,0.187,30.5,63.6,0.313,47.6,7.7,21.7,0,0,6,R,21.7,143
Colt Keith,Detroit Tigers,6.2,40.8,25.2,24.5,23.2,13.3,88.5,0.132,22.3,62.2,0.303,39.5,4.8,28.6,0,0,6,L,20.4,147
Jose Ramirez,Cleveland Guardians,6.8,44.1,30.8,27.6,29.4,19.5,90.3,0.168,17.2,67.6,0.358,47.5,9.5,27.6,0,0,7,S,16.3,221
Kyle Manzardo,Cleveland Guardians,12.1,41.4,31.0,23.3,31.3,17.3,88.9,0.171,29.6,62.9,0.321,44.0,3.4,25.9,0,0,6,L,12.1,116
Chase DeLauter,Cleveland Guardians,6.0,40.8,19.3,28.7,19.2,14.1,90.0,0.131,15.8,66.0,0.337,38.6,5.4,28.2,0,0,6,R,27.7,202
Rhys Hoskins,Cleveland Guardians,12.1,44.4,33.3,21.2,20.6,23.9,88.5,0.148,30.0,63.7,0.309,57.6,10.1,18.2,0,0,7,R,22.2,99
Travis Bazzana,Cleveland Guardians,3.6,34.5,27.7,18.8,23.7,10.7,88.2,0.112,24.9,65.7,0.312,42.0,6.3,28.6,0,0,6,R,21.4,112
