Name,Pitcher,Barrel%,HardHit%,FB%,LD%,Chase%,LA,AvgEV,ISO,SwStr%,ZoneContact%,xwOBA,PulledBrl%,BrlBIP%,SweetSpot%,Last14AVG,Last14HH%,Form,Bats,Oppo%,BBE
Heriberto Hernandez,Jesus Luzardo,9.1,49.5,28.3,23.2,26.4,12.3,91.9,0.224,33.3,69.3,0.355,48.5,9.1,25.8,0,8,6,R,16.2,99
Owen Caissie,Jesus Luzardo,13.3,45.9,29.6,25.5,29.5,15.7,91.7,0.181,35.8,66.0,0.285,29.6,13.3,22.4,0,5,6,R,19.4,98
Kyle Stowers,Jesus Luzardo,8.1,50.4,27.6,21.1,34.7,14.8,90.4,0.165,35.4,74.9,0.304,46.3,8.1,27.6,0,6,6,L,19.5,123
Otto Lopez,Jesus Luzardo,7.0,45.5,21.7,20.5,35.6,6.4,90.3,0.154,20.9,62.0,0.336,32.0,7.0,27.0,0,6,6,R,28.7,244
Joe Mack,Jesus Luzardo,7.2,37.7,20.3,23.2,26.2,12.5,89.2,0.142,23.9,69.0,0.29,50.7,7.2,29.0,0,5,6,L,20.3,69
Xavier Edwards,Jesus Luzardo,5.6,31.9,22.0,27.6,23.0,11.1,87.3,0.133,15.0,61.1,0.339,33.6,5.6,28.0,0,5,6,B,29.3,232
Christopher Morel,Jesus Luzardo,2.5,42.5,25.0,25.0,36.2,19.9,88.4,0.033,35.6,68.5,0.22,52.5,2.5,27.5,0,4,6,R,10.0,40
Kyle Schwarber,Tyler Phillips,21.2,50.3,36.3,26.8,25.1,22.0,93.0,0.286,33.8,66.2,0.38,56.1,21.2,23.6,0,9,6,L,18.5,157
Bryce Harper,Tyler Phillips,13.1,45.5,26.8,27.3,33.3,12.5,90.3,0.263,30.3,74.2,0.407,37.9,13.1,27.3,0,8,6,L,20.2,198
Brandon Marsh,Tyler Phillips,7.2,47.3,25.3,29.7,37.8,13.0,90.2,0.153,24.5,70.8,0.333,34.6,7.2,31.3,0,7,6,L,28.6,182
Bryson Stott,Tyler Phillips,7.0,40.9,28.5,22.0,32.3,15.8,89.6,0.146,17.1,54.8,0.312,39.2,7.0,22.0,0,6,6,L,21.0,186
JT Realmuto,Tyler Phillips,5.5,39.1,28.1,25.0,31.9,9.9,89.0,0.134,23.5,63.9,0.328,43.8,5.5,23.4,0,8,6,R,25.0,128
Alec Bohm,Tyler Phillips,4.3,41.0,21.2,24.5,23.7,10.3,89.9,0.12,17.2,64.6,0.289,27.8,4.3,24.5,0,5,6,R,24.5,212
Bobby Witt Jr,Foster Griffin,12.2,52.6,26.9,28.6,32.9,16.8,93.3,0.228,24.0,66.0,0.384,27.8,12.2,28.6,0,9,6,R,29.1,234
Jac Caglianone,Foster Griffin,14.8,57.0,24.2,33.6,33.4,8.0,93.6,0.211,31.9,68.8,0.358,40.3,14.8,23.5,0,10,6,L,19.5,149
Starling Marte,Foster Griffin,13.7,41.2,19.6,27.5,31.3,5.8,91.6,0.167,30.7,66.5,0.312,33.3,13.7,21.6,0,6,6,R,17.6,51
Michael Massey,Foster Griffin,8.5,43.8,40.0,20.8,39.5,19.5,91.0,0.182,21.8,66.0,0.284,45.4,8.5,20.8,0,5,6,R,16.2,130
Carter Jensen,Foster Griffin,9.1,42.6,34.2,20.0,27.2,20.0,90.7,0.142,31.1,65.1,0.273,39.4,9.1,20.0,0,4,6,R,27.7,155
Maikel Garcia,Foster Griffin,5.1,41.2,20.4,27.3,22.6,8.7,90.0,0.105,14.5,55.0,0.321,35.6,5.1,30.1,0,6,6,R,23.1,216
Lane Thomas,Foster Griffin,3.8,35.6,33.7,24.0,21.6,23.6,86.9,0.107,20.4,62.3,0.314,42.3,3.8,24.0,0,6,6,R,19.2,104
James Wood,Michael Wacha,24.7,58.4,30.3,30.3,22.1,10.4,95.7,0.35,31.8,56.0,0.437,28.7,24.7,30.3,0,9,6,L,35.4,178
