Name,Team,Barrel%,HardHit%,FB%,LD%,Chase%,LA,AvgEV,ISO,SwStr%,ZoneContact%,xwOBA,PulledBrl%,BrlBIP%,SweetSpot%,Last14AVG,Last14HH%,Form,Bats,Oppo%
Mickey Gasper,Boston Red Sox,5.3,45.6,29.8,26.3,25.8,18.2,91.8,0.107,20.6,60.9,0.278,47.4,8.8,33.3,0,0,6,R,22.8
Carlos Narvaez,Boston Red Sox,6.4,38.5,26.9,25.6,34.4,14.7,91.5,0.109,28.3,69.9,0.282,29.5,6.4,28.2,0,0,5,L,32.1
Jarren Duran,Boston Red Sox,11.4,40.2,21.3,21.3,34.5,14.6,90.3,0.158,35.2,62.3,0.296,43.2,5.3,20.7,0,0,3,L,21.9
Willson Contreras,Boston Red Sox,15.2,43.8,25.0,22.5,33.3,17.2,90.0,0.252,30.0,66.6,0.391,50.6,5.6,21.9,0,0,5,R,16.9
Wilyer Abreu,Boston Red Sox,11.6,43.2,36.2,21.6,30.1,17.5,89.8,0.198,22.2,68.4,0.345,33.2,6.5,24.6,0,0,6,R,31.7
Masataka Yoshida,Boston Red Sox,1.8,41.1,25.0,19.6,27.2,8.6,88.9,0.095,14.2,54.5,0.307,40.2,3.6,25.9,0,0,8,L,21.4
Ceddanne Rafaela,Boston Red Sox,6.5,36.4,24.9,27.2,37.7,10.2,87.2,0.116,24.5,66.7,0.297,34.7,4.6,25.4,0,7,5,R,30.6
Marcelo Mayer,Boston Red Sox,6.5,37.1,27.1,15.0,28.9,9.4,86.8,0.098,26.0,74.0,0.260,37.1,5.0,17.1,0,0,5,L,27.1
Isiah Kiner-Falefa,Boston Red Sox,3.8,28.4,16.0,28.4,34.8,10.2,83.7,0.084,17.5,69.0,0.313,42.0,3.7,29.6,0,0,5,R,21.0
Caleb Durbin,Boston Red Sox,1.9,30.6,15.6,20.6,27.0,8.2,85.5,0.067,15.1,61.7,0.272,42.5,3.8,24.4,0,8,5,R,19.4
Junior Caminero,Tampa Bay Rays,12.1,49.0,20.6,20.1,27.2,8.1,92.5,0.205,20.9,60.1,0.371,41.2,5.0,19.6,0,0,7,R,20.1
Yandy Diaz,Tampa Bay Rays,9.0,45.8,22.7,24.1,27.2,6.6,90.9,0.186,13.7,67.2,0.378,18.7,5.4,27.1,0,0,7,R,32.5
Jonathan Aranda,Tampa Bay Rays,12.2,46.3,33.5,26.2,28.3,15.3,90.8,0.215,22.2,61.3,0.374,28.7,6.7,27.4,0,0,8,L,25.0
Ryan Vilade,Tampa Bay Rays,3.8,38.8,27.5,23.8,28.3,16.4,89.6,0.133,19.6,70.9,0.316,33.8,6.3,24.3,0,0,6,R,17.5
Ben Williamson,Tampa Bay Rays,1.0,38.7,12.3,29.2,29.8,3.2,88.7,0.079,18.1,53.2,0.302,28.3,6.6,31.0,0,0,6,R,32.1
Cedric Mullins,Tampa Bay Rays,3.2,30.3,34.4,19.7,27.4,29.2,88.1,0.117,20.5,71.4,0.258,44.6,8.9,15.3,0,7,5,S,24.2
