Name,Pitcher,Barrel%,HardHit%,FB%,LD%,Chase%,LA,AvgEV,ISO,SwStr%,ZoneContact%,xwOBA,PulledBrl%,BrlBIP%,SweetSpot%,Last14AVG,Last14HH%,Form,Bats,Oppo%,BBE
Owen Caissie,Zack Wheeler,13.3,45.9,29.6,25.5,29.8,15.7,91.7,0.183,35.5,0,0.291,29.6,13.3,22.4,0,0,6,R,19.4,98
Heriberto Hernandez,Zack Wheeler,8.4,48.4,27.4,23.2,25.6,12.3,91.6,0.203,32.2,0,0.358,48.4,8.4,26.3,0,0,6,R,16.8,95
Kyle Stowers,Zack Wheeler,8.4,49.6,27.7,21.8,34.6,14.7,90.6,0.169,34.3,0,0.314,47.9,8.4,26.1,0,0,6,L,19.3,119
Otto Lopez,Zack Wheeler,7.2,46.0,21.5,21.1,35.8,6.0,90.5,0.157,20.7,0,0.341,31.6,7.2,27.8,0,0,6,R,27.8,237
Joe Mack,Zack Wheeler,6.2,38.5,20.0,23.1,25.2,11.3,90.2,0.128,23.9,0,0.276,52.3,6.2,30.8,0,0,6,L,20.0,65
Connor Norby,Zack Wheeler,8.3,36.4,37.2,15.7,27.0,19.6,87.1,0.151,30.8,0,0.292,38.8,8.3,19.0,0,0,6,R,21.5,121
Xavier Edwards,Zack Wheeler,5.7,32.0,22.4,27.6,23.2,11.3,87.2,0.134,14.2,0,0.342,33.8,5.7,27.6,0,0,6,B,29.4,228
Kyle Schwarber,Ryan Gusto,21.3,50.3,36.4,25.8,25.2,21.8,93.2,0.288,34.1,0,0.378,55.6,21.3,22.5,0,0,6,L,18.5,151
Bryce Harper,Ryan Gusto,13.1,45.5,26.2,27.2,33.9,12.2,90.2,0.266,30.6,0,0.409,37.7,13.1,27.7,0,0,6,L,19.9,191
Alec Bohm,Ryan Gusto,4.4,42.0,20.8,25.1,24.1,10.6,90.1,0.112,17.5,0,0.292,27.5,4.4,21.7,0,0,6,R,24.2,207
Brandon Marsh,Ryan Gusto,7.4,47.2,25.0,29.5,38.0,13.0,90.1,0.186,24.2,0,0.336,34.1,7.4,31.8,0,0,6,L,28.4,176
JT Realmuto,Ryan Gusto,4.8,38.7,29.0,24.2,31.8,10.7,88.8,0.134,23.8,0,0.32,41.9,4.8,23.4,0,0,6,R,25.8,124
Trea Turner,Ryan Gusto,5.1,38.4,28.2,19.9,35.7,9.9,88.9,0.115,27.8,0,0.28,31.5,5.1,25.9,0,0,6,R,30.6,216
Edmundo Sosa,Ryan Gusto,7.6,38.0,15.2,25.3,53.4,9.7,86.6,0.168,25.6,0,0.328,40.5,7.6,29.1,0,0,6,R,17.7,79
Jac Caglianone,Andrew Alvarez,15.2,57.2,24.8,32.4,33.0,8.4,93.7,0.214,31.2,0,0.359,39.3,15.2,22.1,0,0,6,L,19.3,145
Bobby Witt Jr,Andrew Alvarez,12.5,52.2,27.2,28.5,33.4,16.7,93.1,0.228,23.9,0,0.385,27.6,12.5,25.9,0,0,6,R,28.9,228
Michael Massey,Andrew Alvarez,7.8,43.8,39.8,20.3,39.6,19.3,90.9,0.176,21.6,0,0.283,46.1,7.8,18.8,0,0,6,L,16.4,128
Carter Jensen,Andrew Alvarez,9.5,40.9,35.6,20.8,27.0,20.4,90.2,0.144,31.1,0,0.272,39.6,9.5,19.5,0,0,6,R,28.2,149
Maikel Garcia,Andrew Alvarez,5.3,41.1,21.1,28.2,22.3,8.7,90.1,0.106,14.7,0,0.323,34.9,5.3,30.1,0,0,6,R,23.0,209
Salvador Perez,Andrew Alvarez,8.3,40.5,29.8,23.9,46.2,16.9,88.5,0.162,25.5,0,0.289,40.0,8.3,21.0,0,0,6,R,30.2,205
Isaac Collins,Andrew Alvarez,7.4,39.0,27.2,25.7,19.3,19.1,88.5,0.089,25.9,0,0.305,42.6,7.4,25.0,0,0,6,L,25.0,136
Lane Thomas,Andrew Alvarez,4.1,36.1,34.0,23.7,21.7,23.4,87.0,0.105,21.6,0,0.316,42.3,4.1,24.7,0,0,6,R,18.6,97
James Wood,Mitch Spence,25.0,58.1,30.8,29.1,22.4,10.2,95.6,0.342,32.1,0,0.431,27.9,25.0,19.2,0,0,6,L,36.0,172
Luis Garcia Jr,Mitch Spence,8.4,47.8,19.8,25.8,42.2,10.8,92.3,0.175,18.3,0,0.333,41.2,8.4,25.8,0,0,6,R,21.4,182
CJ Abrams,Mitch Spence,10.7,42.1,27.9,25.4,35.3,16.6,90.0,0.194,28.7,0,0.359,44.2,10.7,27.4,0,0,6,L,24.4,197
Daylen Lile,Mitch Spence,7.9,36.4,34.9,22.3,35.8,17.2,87.7,0.164,23.1,0,0.327,41.9,7.9,26.2,0,0,6,L,29.7,229
Curtis Mead,Mitch Spence,11.0,43.1,33.6,21.9,24.7,15.7,88.9,0.206,15.8,0,0.366,46.7,11.0,24.8,0,0,6,R,21.9,137
