Hitter,Pitcher,Game
Willson Contreras,Nick Martinez,BOS vs TB - 5:35 PM
Jarren Duran,Nick Martinez,BOS vs TB - 5:35 PM
Wilyer Abreu,Nick Martinez,BOS vs TB - 5:35 PM
Mickey Gasper,Nick Martinez,BOS vs TB - 5:35 PM
Masataka Yoshida,Nick Martinez,BOS vs TB - 5:35 PM
Ceddanne Rafaela,Nick Martinez,BOS vs TB - 5:35 PM
Carlos Narvaez,Nick Martinez,BOS vs TB - 5:35 PM
Marcelo Mayer,Nick Martinez,BOS vs TB - 5:35 PM
Isiah Kiner-Falefa,Nick Martinez,BOS vs TB - 5:35 PM
Junior Caminero,Payton Tolle,BOS vs TB - 5:35 PM
Yandy Diaz,Payton Tolle,BOS vs TB - 5:35 PM
Jonathan Aranda,Payton Tolle,BOS vs TB - 5:35 PM
Hunter Feduccia,Payton Tolle,BOS vs TB - 5:35 PM
Cedric Mullins,Payton Tolle,BOS vs TB - 5:35 PM
Richie Palacios,Payton Tolle,BOS vs TB - 5:35 PM
Nick Fortes,Payton Tolle,BOS vs TB - 5:35 PM
Chandler Simpson,Payton Tolle,BOS vs TB - 5:35 PM
Garrett Mitchell,J.T. Ginn,MIL vs OAK - 9:05 PM
Jackson Chourio,J.T. Ginn,MIL vs OAK - 9:05 PM
Jake Bauers,J.T. Ginn,MIL vs OAK - 9:05 PM
Brice Turang,J.T. Ginn,MIL vs OAK - 9:05 PM
William Contreras,J.T. Ginn,MIL vs OAK - 9:05 PM
Christian Yelich,J.T. Ginn,MIL vs OAK - 9:05 PM
Andrew Vaughn,J.T. Ginn,MIL vs OAK - 9:05 PM
Nick Kurtz,Robert Gasser,MIL vs OAK - 9:05 PM
Shea Langeliers,Robert Gasser,MIL vs OAK - 9:05 PM
Brent Rooker,Robert Gasser,MIL vs OAK - 9:05 PM
Tyler Soderstrom,Robert Gasser,MIL vs OAK - 9:05 PM
Max Muncy,Robert Gasser,MIL vs OAK - 9:05 PM
Carlos Cortes,Robert Gasser,MIL vs OAK - 9:05 PM
Zack Gelof,Robert Gasser,MIL vs OAK - 9:05 PM
Jonah Heim,Robert Gasser,MIL vs OAK - 9:05 PM
Jeff McNeil,Robert Gasser,MIL vs OAK - 9:05 PM
