Hitter,Pitcher,Game
Kyle Schwarber,Jacob Misiorowski,PHI vs MIL
Bryce Harper,Jacob Misiorowski,PHI vs MIL
Brandon Marsh,Jacob Misiorowski,PHI vs MIL
Alec Bohm,Jacob Misiorowski,PHI vs MIL
Bryson Stott,Jacob Misiorowski,PHI vs MIL
Trea Turner,Jacob Misiorowski,PHI vs MIL
Jackson Chourio,Andrew Painter,PHI vs MIL
Jake Bauers,Andrew Painter,PHI vs MIL
Garrett Mitchell,Andrew Painter,PHI vs MIL
Brice Turang,Andrew Painter,PHI vs MIL
William Contreras,Andrew Painter,PHI vs MIL
Corbin Carroll,Rhett Lowder,ARI vs CIN
Ketel Marte,Rhett Lowder,ARI vs CIN
Gabriel Moreno,Rhett Lowder,ARI vs CIN
Nolan Arenado,Rhett Lowder,ARI vs CIN
Ryan Waldschmidt,Rhett Lowder,ARI vs CIN
JJ Bleday,Michael Soroka,ARI vs CIN
Spencer Steer,Michael Soroka,ARI vs CIN
Sal Stewart,Michael Soroka,ARI vs CIN
Nathaniel Lowe,Michael Soroka,ARI vs CIN
Tyler Stephenson,Michael Soroka,ARI vs CIN
Matt Olson,Martin Perez,ATL vs NYM
Austin Riley,Martin Perez,ATL vs NYM
Michael Harris II,Martin Perez,ATL vs NYM
Ozzie Albies,Martin Perez,ATL vs NYM
Rowdy Tellez,Martin Perez,ATL vs NYM
Juan Soto,Nolan McLean,ATL vs NYM
Jared Young,Nolan McLean,ATL vs NYM
Bo Bichette,Nolan McLean,ATL vs NYM
Francisco Alvarez,Nolan McLean,ATL vs NYM
Vladimir Guerrero Jr,Aaron Nola,NYY vs TOR
Kazuma Okamoto,Aaron Nola,NYY vs TOR
Jesus Sanchez,Aaron Nola,NYY vs TOR
Ben Rice,Kevin Gausman,NYY vs TOR
Trent Grisham,Kevin Gausman,NYY vs TOR
Cody Bellinger,Kevin Gausman,NYY vs TOR
Ryan McMahon,Kevin Gausman,NYY vs TOR
Shohei Ohtani,Sean Burke,LAD vs CWS
Freddie Freeman,Sean Burke,LAD vs CWS
Max Muncy,Sean Burke,LAD vs CWS
Mookie Betts,Sean Burke,LAD vs CWS
Kyle Tucker,Sean Burke,LAD vs CWS
Miguel Vargas,Yoshinobu Yamamoto,LAD vs CWS
Colson Montgomery,Yoshinobu Yamamoto,LAD vs CWS
Jacob Gonzalez,Yoshinobu Yamamoto,LAD vs CWS
Andrew Benintendi,Yoshinobu Yamamoto,LAD vs CWS
Yordan Alvarez,Noah Cameron,HOU vs KC
Jose Altuve,Noah Cameron,HOU vs KC
Cam Smith,Noah Cameron,HOU vs KC
Christian Walker,Noah Cameron,HOU vs KC
Bobby Witt Jr,Tatsuya Imai,HOU vs KC
Jac Caglianone,Tatsuya Imai,HOU vs KC
Salvador Perez,Tatsuya Imai,HOU vs KC
Vinnie Pasquantino,Tatsuya Imai,HOU vs KC
Alec Burleson,Connor Prielipp,STL vs MIN
JJ Wetherholt,Connor Prielipp,STL vs MIN
Jordan Walker,Connor Prielipp,STL vs MIN
Ivan Herrera,Connor Prielipp,STL vs MIN
Nolan Gorman,Connor Prielipp,STL vs MIN
Byron Buxton,Matthew Liberatore,STL vs MIN
Royce Lewis,Matthew Liberatore,STL vs MIN
Brooks Lee,Matthew Liberatore,STL vs MIN
Kody Clemens,Matthew Liberatore,STL vs MIN
Josh Bell,Matthew Liberatore,STL vs MIN
Junior Caminero,Jose Soriano,TB vs LAA
Yandy Diaz,Jose Soriano,TB vs LAA
Jonathan Aranda,Jose Soriano,TB vs LAA
Mike Trout,Griffin Jax,TB vs LAA
Zach Neto,Griffin Jax,TB vs LAA
Logan O'Hoppe,Griffin Jax,TB vs LAA
Jo Adell,Griffin Jax,TB vs LAA
Hunter Goodman,Kyle Freeland,COL vs OAK
Ezequiel Tovar,Kyle Freeland,COL vs OAK
Edouard Julien,Kyle Freeland,COL vs OAK
TJ Rumfield,Kyle Freeland,COL vs OAK
Sterlin Thompson,Kyle Freeland,COL vs OAK
Nick Kurtz,Jeffrey Springs,COL vs OAK
Shea Langeliers,Jeffrey Springs,COL vs OAK
Tyler Soderstrom,Jeffrey Springs,COL vs OAK
Carlos Cortes,Jeffrey Springs,COL vs OAK
Pete Crow-Armstrong,Trevor McDonald,CHC vs SF
Ian Happ,Trevor McDonald,CHC vs SF
Seiya Suzuki,Trevor McDonald,CHC vs SF
Michael Busch,Trevor McDonald,CHC vs SF
Alex Bregman,Trevor McDonald,CHC vs SF
Bryce Eldridge,Ben Brown,CHC vs SF
Rafael Devers,Ben Brown,CHC vs SF
Casey Schmitt,Ben Brown,CHC vs SF
Willy Adames,Ben Brown,CHC vs SF
