Hitter,Pitcher,Game
Mickey Gasper,Drew Rasmussen,BOS vs TB - 1:10 PM
Carlos Narvaez,Drew Rasmussen,BOS vs TB - 1:10 PM
Jarren Duran,Drew Rasmussen,BOS vs TB - 1:10 PM
Willson Contreras,Drew Rasmussen,BOS vs TB - 1:10 PM
Wilyer Abreu,Drew Rasmussen,BOS vs TB - 1:10 PM
Masataka Yoshida,Drew Rasmussen,BOS vs TB - 1:10 PM
Ceddanne Rafaela,Drew Rasmussen,BOS vs TB - 1:10 PM
Marcelo Mayer,Drew Rasmussen,BOS vs TB - 1:10 PM
Isiah Kiner-Falefa,Drew Rasmussen,BOS vs TB - 1:10 PM
Caleb Durbin,Drew Rasmussen,BOS vs TB - 1:10 PM
Junior Caminero,Jake Bennett,BOS vs TB - 1:10 PM
Yandy Diaz,Jake Bennett,BOS vs TB - 1:10 PM
Jonathan Aranda,Jake Bennett,BOS vs TB - 1:10 PM
Ryan Vilade,Jake Bennett,BOS vs TB - 1:10 PM
Ben Williamson,Jake Bennett,BOS vs TB - 1:10 PM
Cedric Mullins,Jake Bennett,BOS vs TB - 1:10 PM
Nick Fortes,Jake Bennett,BOS vs TB - 1:10 PM
Richie Palacios,Jake Bennett,BOS vs TB - 1:10 PM
Taylor Walls,Jake Bennett,BOS vs TB - 1:10 PM
James Wood,Foster Griffin,WSH vs SF - 3:45 PM
CJ Abrams,Foster Griffin,WSH vs SF - 3:45 PM
Curtis Mead,Foster Griffin,WSH vs SF - 3:45 PM
Jacob Young,Foster Griffin,WSH vs SF - 3:45 PM
Daylen Lile,Foster Griffin,WSH vs SF - 3:45 PM
Luis Garcia Jr,Foster Griffin,WSH vs SF - 3:45 PM
Bryce Eldridge,Robbie Ray,WSH vs SF - 3:45 PM
Casey Schmitt,Robbie Ray,WSH vs SF - 3:45 PM
Willy Adames,Robbie Ray,WSH vs SF - 3:45 PM
Rafael Devers,Robbie Ray,WSH vs SF - 3:45 PM
Matt Chapman,Robbie Ray,WSH vs SF - 3:45 PM
Jung Hoo Lee,Robbie Ray,WSH vs SF - 3:45 PM
Luis Arraez,Robbie Ray,WSH vs SF - 3:45 PM
Ben Rice,Parker Messick,NYY vs CLE - 7:10 PM
Trent Grisham,Parker Messick,NYY vs CLE - 7:10 PM
Ryan McMahon,Parker Messick,NYY vs CLE - 7:10 PM
Cody Bellinger,Parker Messick,NYY vs CLE - 7:10 PM
Paul Goldschmidt,Parker Messick,NYY vs CLE - 7:10 PM
Jose Ramirez,Carlos Rodon,NYY vs CLE - 7:10 PM
Rhys Hoskins,Carlos Rodon,NYY vs CLE - 7:10 PM
Travis Bazzana,Carlos Rodon,NYY vs CLE - 7:10 PM
Daniel Schneemann,Carlos Rodon,NYY vs CLE - 7:10 PM
Angel Martinez,Carlos Rodon,NYY vs CLE - 7:10 PM
Brayan Rocchio,Carlos Rodon,NYY vs CLE - 7:10 PM
David Fry,Carlos Rodon,NYY vs CLE - 7:10 PM
Tyler Stephenson,Michael King,CIN vs SD - 4:10 PM
Sal Stewart,Michael King,CIN vs SD - 4:10 PM
JJ Bleday,Michael King,CIN vs SD - 4:10 PM
Spencer Steer,Michael King,CIN vs SD - 4:10 PM
Nathaniel Lowe,Michael King,CIN vs SD - 4:10 PM
Matt McLain,Michael King,CIN vs SD - 4:10 PM
Eugenio Suarez,Michael King,CIN vs SD - 4:10 PM
Dane Myers,Michael King,CIN vs SD - 4:10 PM
Will Benson,Michael King,CIN vs SD - 4:10 PM
Fernando Tatis Jr,Brady Singer,CIN vs SD - 4:10 PM
Jackson Merrill,Brady Singer,CIN vs SD - 4:10 PM
Gavin Sheets,Brady Singer,CIN vs SD - 4:10 PM
Manny Machado,Brady Singer,CIN vs SD - 4:10 PM
Ty France,Brady Singer,CIN vs SD - 4:10 PM
