Name,Team,BarrelAllowed%,FBAllowed%,HR9,LDAllowed%,ChaseAllowed%,EVAllowed,LAAllowed,SwStr%Induced,Zone%,Last14ERA,Last14HHAllowed%,CSW%,Throws
Jake Bennett,Tampa Bay Rays,5.9,14.7,0,11.8,32.6,89.0,4.2,17.0,49.7,0,47.1,0,L
Drew Rasmussen,Boston Red Sox,7.2,19.9,0,21.0,31.7,86.9,8.5,23.3,48.6,0,32.0,0,R
Foster Griffin,San Francisco Giants,12.4,29.9,0,19.9,29.3,88.6,13.5,24.5,49.7,0,38.3,0,L
Robbie Ray,Washington Nationals,11.6,37.2,0,23.0,29.8,88.5,19.8,25.8,43.2,0,36.6,0,L
Carlos Rodon,Cleveland Guardians,5.0,28.3,0,16.7,29.8,89.5,14.2,27.9,42.7,0,31.7,0,L
Parker Messick,New York Yankees,6.2,24.7,0,24.2,32.7,87.5,15.0,27.9,45.6,0,34.5,0,L
Brady Singer,San Diego Padres,12.9,27.3,0,28.4,26.9,91.7,14.5,22.6,45.6,0,43.3,0,R
Michael King,Cincinnati Reds,10.4,24.0,0,19.8,27.7,87.5,13.8,27.5,48.1,0,35.4,0,R
Edward Cabrera,Colorado Rockies,12.9,24.0,0,25.1,33.5,91.6,11.8,27.6,42.1,0,40.9,28.5,R
Ryan Feltner,Chicago Cubs,12.5,30.2,0,21.9,23.0,89.5,12.7,24.3,51.1,0,44.8,26.0,R
Justin Wrobleski,Pittsburgh Pirates,7.0,31.8,0,26.2,30.1,89.9,15.1,17.2,54.8,0,42.5,24.0,L
Mitch Keller,Los Angeles Dodgers,6.8,21.1,0,30.5,30.2,88.0,12.9,20.9,49.2,0,39.0,25.5,R
Martin Perez,Chicago White Sox,7.7,25.0,0,24.4,27.8,89.0,10.2,22.3,46.4,0,39.7,24.0,L

Kumar Rocker,Kansas City Royals,8.2,22.2,0,23.8,30.0,89.6,12.0,22.5,45.8,0,42.2,24.0,R
Michael Wacha,Texas Rangers,6.9,27.7,0,26.0,30.0,88.8,16.8,23.6,49.4,0,38.1,26.0,R
Bryan Woo,Baltimore Orioles,6.5,31.6,0,21.4,35.0,89.6,19.5,24.5,51.0,0,44.2,27.0,R
Kyle Bradish,Seattle Mariners,10.3,21.3,0,18.8,30.0,88.0,8.1,25.5,43.0,0,36.5,28.0,R
