Name,Team,BarrelAllowed%,FBAllowed%,HR9,LDAllowed%,ChaseAllowed%,EVAllowed,LAAllowed,SwStr%Induced,Zone%,Last14ERA,Last14HHAllowed%,CSW%,Throws
Zack Wheeler,MIA,8.3,25.3,1.0,19.9,37.5,87.7,14.2,26.6,43.2,3.2,37.0,36.0,R
Ryan Gusto,PHI,10.3,10.3,0.8,27.6,35.6,88.7,12.4,16.4,51.7,4.5,48.3,25.0,R
Andrew Alvarez,KC,7.6,9.1,0.7,28.8,31.0,90.7,9.2,28.4,43.7,4.2,45.5,35.0,L
Mitch Spence,WSH,7.7,23.1,0.9,15.4,19.1,90.8,12.8,19.4,44.0,4.8,38.5,28.0,R
Chase Burns,NYM,9.6,27.6,0.8,21.1,33.2,89.1,18.3,33.7,44.4,3.1,38.4,42.0,R
Tobias Myers,CIN,6.9,29.7,0.7,21.8,28.2,90.9,19.8,18.6,53.0,3.8,43.6,30.0,R
Dustin May,SD,6.7,22.0,0.6,24.9,30.9,90.2,11.3,21.2,49.4,3.5,47.4,32.0,R
Griffin Canning,STL,11.8,25.5,1.2,19.6,23.1,92.0,8.4,25.3,44.2,4.2,52.0,35.0,R
MacKenzie Gore,MIN,8.6,25.3,0.9,30.8,30.4,89.7,15.9,25.4,47.4,3.6,44.4,36.0,L
Taj Bradley,TEX,10.6,28.3,1.1,30.0,28.6,91.9,16.4,27.1,46.8,3.8,47.2,35.0,R
Kai-Wei Teng,DET,5.1,23.2,0.5,25.4,28.2,90.3,13.3,25.3,47.9,3.9,39.9,33.0,R
Troy Melton,HOU,6.2,24.7,0.6,24.7,30.7,89.3,12.8,17.6,52.6,4.2,38.3,28.0,R
Walbert Urena,TB,6.0,24.5,0.6,18.5,30.6,87.2,8.0,28.1,42.5,4.8,32.5,38.0,R
Nick Martinez,LAA,6.6,27.4,0.7,26.6,31.6,86.8,15.5,18.2,52.2,3.8,31.7,28.0,R
Jared Jones,ARI,10.3,35.9,1.0,17.9,32.5,89.8,15.3,34.9,45.6,3.6,46.2,42.0,R
Ryne Nelson,PIT,10.7,38.4,1.1,21.5,33.4,90.6,20.1,21.3,50.5,4.1,43.8,32.0,R
Michael Lorenzen,ATH,9.3,23.5,1.0,27.3,25.8,89.6,10.7,20.8,48.6,4.5,45.0,30.0,R
JT Ginn,COL,6.3,23.0,0.7,21.5,30.0,88.3,9.1,27.2,44.1,4.3,37.7,35.0,R
Ryan Rolison,CHC,6.7,30.0,0.8,25.0,28.0,88.5,10.0,25.0,44.0,4.5,40.0,32.0,L
Eric Lauer,LAD,11.2,41.4,1.2,21.9,32.5,88.9,21.6,19.5,46.2,3.9,39.6,28.0,L
