Date,Player,Team,HR,HR_Score,HR_Rank,Hit_Score,Dbl_Score,Game,Kasper_Pick
2026-06-11,Shohei Ohtani,LAD,1,96,1,0,0,LAD vs PIT,Yes
2026-06-11,Ian Happ,CHC,1,81,6,0,0,CHC vs COL,Yes
2026-06-11,Seiya Suzuki,CHC,1,0,0,0,0,CHC vs COL,No
2026-06-11,Luke Raley,SEA,0,92,3,0,0,SEA vs BAL,Yes
2026-06-11,Max Muncy,LAD,0,94,2,0,0,LAD vs PIT,Yes
2026-06-11,Corey Seager,TEX,0,88,4,0,0,TEX vs KC,Yes
2026-06-11,Hunter Goodman,COL,0,83,5,0,0,CHC vs COL,Yes
2026-06-11,Dominic Canzone,SEA,0,80,7,0,0,SEA vs BAL,No
2026-06-11,Miguel Vargas,CWS,0,79,8,0,0,ATL vs CWS,Yes
2026-06-11,Matt Olson,ATL,0,78,9,0,0,ATL vs CWS,Yes
2026-06-11,Michael Harris II,ATL,0,77,10,0,0,ATL vs CWS,Yes
2026-06-11,Brett Sullivan,COL,1,0,0,0,0,CHC vs COL,No
2026-06-11,Cole Carrigg,COL,1,0,0,0,0,CHC vs COL,No
